DPA_PARROQ,DPA_DESPAR,riesgo_predicho,probabilidad,canton,provincia
090150,GUAYAQUIL,bajo,0.8441,GUAYAQUIL,GUAYAS
090152,JUAN GOMEZ RENDON (PROGRESO),bajo,0.9648,GUAYAQUIL,GUAYAS
090153,MORRO,bajo,0.9738,GUAYAQUIL,GUAYAS
090156,POSORJA,bajo,0.961,GUAYAQUIL,GUAYAS
090157,PUNA,bajo,0.9374,GUAYAQUIL,GUAYAS
090158,TENGUEL,bajo,0.937,GUAYAQUIL,GUAYAS
090250,ALFREDO BAQUERIZO MORENO (JUJAN),medio,0.7666,ALFREDO BAQUERIZO MORENO,GUAYAS
090350,BALAO,bajo,0.8912,BALAO,GUAYAS
090450,BALZAR,medio,0.8017,BALZAR,GUAYAS
090550,COLIMES,medio,0.8458,COLIMES,GUAYAS
090551,SAN JACINTO,bajo,0.8443,COLIMES,GUAYAS
090650,DAULE,bajo,0.8155,DAULE,GUAYAS
090652,JUAN BAUTISTA AGUIRRE (LOS TINTOS),medio,0.7807,DAULE,GUAYAS
090653,LAUREL,medio,0.8458,DAULE,GUAYAS
090654,LIMONAL,bajo,0.8875,DAULE,GUAYAS
090656,LOS LOJAS (ENRIQUE BAQUERIZO MORENO),bajo,0.9559,DAULE,GUAYAS
090750,ELOY ALFARO (DURAN),medio,0.735,DURAN,GUAYAS
090850,VELASCO IBARRA (CAB. EL EMPALME),alto,0.815,EMPALME,GUAYAS
090851,GUAYAS (PUEBLO NUEVO),medio,0.7587,EMPALME,GUAYAS
090852,EL ROSARIO,alto,0.9723,EMPALME,GUAYAS
090950,EL TRIUNFO,alto,0.9571,EL TRIUNFO,GUAYAS
091050,MILAGRO,medio,0.8669,MILAGRO,GUAYAS
091051,CHOBO,medio,0.8654,MILAGRO,GUAYAS
091053,MARISCAL SUCRE (HUAQUES),alto,0.8131,MILAGRO,GUAYAS
091054,ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA),alto,0.831,MILAGRO,GUAYAS
091150,NARANJAL,alto,0.8632,NARANJAL,GUAYAS
091151,JESUS MARIA,alto,0.7619,NARANJAL,GUAYAS
091152,SAN CARLOS,medio,0.7931,NARANJAL,GUAYAS
091153,SANTA ROSA DE FLANDES,bajo,0.942,NARANJAL,GUAYAS
091154,TAURA,medio,0.7658,NARANJAL,GUAYAS
091250,NARANJITO,medio,0.7771,NARANJITO,GUAYAS
091350,PALESTINA,bajo,0.9592,PALESTINA,GUAYAS
091450,PEDRO CARBO,medio,0.4999,PEDRO CARBO,GUAYAS
091451,VALLE DE LA VIRGEN,bajo,0.8308,PEDRO CARBO,GUAYAS
091452,SABANILLA,medio,0.7113,PEDRO CARBO,GUAYAS
091650,SAMBORONDON,bajo,0.8849,SAMBORONDON,GUAYAS
091651,TARIFA,bajo,0.8866,SAMBORONDON,GUAYAS
091850,SANTA LUCIA,bajo,0.7747,SANTA LUCIA,GUAYAS
091950,EL SALITRE (LAS RAMAS),medio,0.831,SALITRE,GUAYAS
091951,GRAL. VERNAZA (DOS ESTEROS),medio,0.8639,SALITRE,GUAYAS
091952,LA VICTORIA (ÑAUZA),bajo,0.8786,SALITRE,GUAYAS
091953,JUNQUILLAL,medio,0.8449,SALITRE,GUAYAS
092050,SAN JACINTO DE YAGUACHI,medio,0.8616,SAN JACINTO DE YAGUACHI,GUAYAS
092053,GRAL. PEDRO J. MONTERO (BOLICHE),bajo,0.8408,SAN JACINTO DE YAGUACHI,GUAYAS
092055,YAGUACHI VIEJO (CONE),bajo,0.8184,SAN JACINTO DE YAGUACHI,GUAYAS
092056,VIRGEN DE FATIMA,bajo,0.8816,SAN JACINTO DE YAGUACHI,GUAYAS
092150,GENERAL VILLAMIL (PLAYAS),bajo,0.9145,PLAYAS,GUAYAS
092250,SIMON BOLIVAR,medio,0.7955,SIMON BOLIVAR,GUAYAS
092251,CRNEL. LORENZO DE GARAICOA (PEDREGAL),alto,0.9518,SIMON BOLIVAR,GUAYAS
092350,CORONEL MARCELINO MARIDUEÑA (SAN CARLOS),alto,0.9068,CRNEL. MARCELINO MARIDUEÑA,GUAYAS
092450,LOMAS DE SARGENTILLO,bajo,0.8915,LOMAS DE SARGENTILLO,GUAYAS
092550,NARCISA DE JESUS,medio,0.5714,NOBOL,GUAYAS
092750,GRAL. ANTONIO ELIZALDE (BUCAY),alto,0.9747,GNRAL. ANTONIO ELIZALDE,GUAYAS
092850,ISIDRO AYORA,medio,0.485,ISIDRO AYORA,GUAYAS
120150,BABAHOYO,medio,0.8579,BABAHOYO,LOS RIOS
120152,CARACOL,alto,0.9415,BABAHOYO,LOS RIOS
120153,FEBRES CORDERO (LAS JUNTAS),alto,0.965,BABAHOYO,LOS RIOS
120154,PIMOCHA,alto,0.8226,BABAHOYO,LOS RIOS
120155,LA UNION,alto,0.9446,BABAHOYO,LOS RIOS
120250,BABA,medio,0.7125,BABA,LOS RIOS
120251,GUARE,alto,0.9539,BABA,LOS RIOS
120252,ISLA DE BEJUCAL,alto,0.9596,BABA,LOS RIOS
120350,MONTALVO,alto,0.9732,MONTALVO,LOS RIOS
120351,LA ESMERALDA,alto,0.979,MONTALVO,LOS RIOS
120450,PUEBLOVIEJO,medio,0.8496,PUEBLOVIEJO,LOS RIOS
